INDEX,NAME,TYPE,MAC,SN,STREAM,IPMODE,IP,SUBNET,GW,MODE,SWVER,WEBVER,AUDIOSTREAM,AUDIOENABLE,RESOLUTION,2NDSTREAM,EXTREMEQUALITY,RS232BAUD,HDMIAUDIOENABLE,LASTFRAMEHOLD,DVIOFFSTREAMLOSS,EDID,WP_STREAM_WIN0,WP_STREAM_WIN1,WP_STREAM_WIN2,WP_STREAM_WIN3,WP_STREAM_WIN4,WP_STREAM_WIN5,WP_STREAM_WIN6,WP_STREAM_WIN7,WP_STREAM_WIN8,UNSOLICITEDIPADDR,DISCOVERYINTERVALSEC,ENABLEDISCOVERYPACKETS,MEDIAPORT0,MEDIAPORT1,PORTSHUTDOWN1,GRATARP,GRATARPINT,UNSOLSTATUS,UNSOLSTATUSINT,USERMCMODE,USERMCIP,IRCOMMANDHOLDOFF,IRREPEATHOLDOFF,USBENABLE,FORCEHTTPS,SETTINGSLOCK,STREAMAUDIO,MUTE,PLAYMODE,YCBCROUTPUT,GEN1COMPATIBILITY,SIMPLIFIEDDVI,LIVEAUDIOLOCALPLAY,BYPASSSCALER,LINEOUTVOLLEFT,LINEOUTVOLRIGHT,NEGATIVEVSYNC,NEGATIVEHSYNC,IGMPJOINSENABLE,IGMPJOINSINTERVAL,AUTOSYNCCONTROL,AUTOSYNCMAXADJUSTRATE,MAINTAINASPECTRATIO,LINEINGAINLEFT,LINEINGAINRIGHT,AUDIODELAY,PKTTTL,PKTDSCP,IMAGEQUALITY,MOTIONQUALITY,AUDIOINPUTTYPE,TXSAMPLERATE,TXEXTRAHOFFSET,TXEXTRAVOFFSET,SWAPCBCR,COLORSPACECOR,USEHPFORNONSUPMODE,UNCOMPRESSEDMODE,REDBRIGHTNESS,GREENBRIGHTNESS,BLUEBRIGHTNESS,SOGWINDOW,YCBCROUTPUTPASSTHRU,SIMPLEDVIDETECTPASSTHRU,HDMIAUDIOPASSTHRU,NEGATIVESYNCSPASSTHRU,ADCLEFTGAIN,ADCRIGHTGAIN,GEN1OUTPUTMODE,N2121COMPATIBILITY,ENCRYPTEDAUDIO,RELAXEDANALOGINPUTTIMING,MPCENABLE,VIDEOSOURCE,NTPSERVER1,NTPSERVER2,NTPSERVER3,MANUALDNS,DNSSERVER1,DNSSERVER2,SENDSCHEDULE,SENDSTARTTIME,SENDENDTIME,SENDUSERNAME,SENDPORT,SENDVALIDATE,SENDMETHOD,SENDAUTODELETE,SENDCONVERTMP4,SENDDESTADDR,RECORDBASENAME,SENDPATH,UNICASTMODE,UNICASTDESTIPADDR,AUDIOBITRATE,XPORTPORT,STREAMURL,RTSPPORT,RTCPPORT,VIDDETECTMODE,STREAMPCMAUDIO,GOPWIDTH,XPORTSTREAM,RTPENCAP,ENCODERMODE,FORCEMULTICAST,HTTPFILEDURSEC,STREAM_U,STREAM_C,P0_COMPRESSED,P1_COMPRESSED,P1_UNCOMPRESSED,HOMEPAGE,BRIGHTNESS,SLEEPDELAY,ENABLEWIRELESSAP,ENABLEBLUETOOTH,TXNAME,RXNAME,MASTERVOLLEFT,MASTERVOLRIGHT,HEADPHONEVOLLEFT,HEADPHONEVOLRIGHT,TXINPUTBALANCED,RELAY1CLOSED,RELAY2CLOSED,RELAYINTERLOCK,PHANTOMPOWER,UNSOLICITEDSTATUSINTERVAL,AUDIODELAYRX,CAPTURESAMPLERATE,UNICASTDESTIPADDR2,RXUNICASTMODE,DVRMODE,STREAM1A,STREAM2A,STREAM3A,STREAM4A,STREAM5A,STREAM6A,STREAM7A,STREAM8A,STREAM9A,MPEGMODE,GEN1STATPACKET,APPENDDESC,PREPENDTIMESTAMP,PREPENDSTREAM,ONLYNTP,VIDRTCPPORT,SUPPORTBFRAMES,DECODERMODE,DISABLECLOCKSYNC
10,AV100-12,N23-DEC,00:19:0B:85:4B:C2,N2322A10009652,17,Static IP,10.40.242.116,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AV101-01,N23-DEC,00:19:0B:85:4B:CA,N2322A10009660,14,Static IP,10.40.242.135,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AV101-02,N23-DEC,00:19:0B:85:4B:BB,N2322A10009645,17,Static IP,10.40.242.167,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AV101-03,N23-DEC,00:19:0B:85:4B:01,N2322A10009459,18,Static IP,10.40.242.166,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AV101-04,N23-DEC,00:19:0B:85:4B:CD,N2322A10009663,11,Static IP,10.40.242.122,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AV101-05,N23-DEC,00:19:0B:85:4B:C3,N2322A10009653,15,Static IP,10.40.242.117,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AV101-06,N23-DEC,00:19:0B:85:4A:71,N2322A10009315,13,Static IP,10.40.242.206,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,0,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AV101-07,N23-DEC,00:19:0B:85:39:54,N2322A10007164,13,Static IP,10.40.242.205,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,0,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AV101-08,N23-DEC,00:19:0B:85:4A:75,N2322A10009319,15,Static IP,10.40.242.177,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AV101-09,N23-DEC,00:19:0B:85:4A:76,N2322A10009320,14,Static IP,10.40.242.204,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,0,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
